X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,id,satellite,satellite_,satellit_1,sensor,orbit,start_dt,stop_dt,filename,process_dt,process_al,process__1,load_dt,latitude,longitude,temp_kelvi,datetime,power,confidence,age_hours,australian,hold_dt,hold_dt_2
-1470918.27629729,-3683416.00680196,,,,,,,-1,0,-1,,,10720361,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21832,2016-01-14T05:47:29Z,2016-01-14T06:00:15Z,Npp20160114T054729Z20160114T060015Zhotspots.txt,,VIIRS (AER),6,,-32.9348,116.1148,,2016-01-14T05:53:52Z,,61,6973,WA,2016-01-14,2016-01-14T17:47:29Z
-1470052.93220926,-3683172.09897308,,,,,,,-1,0,-1,,,10720360,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21832,2016-01-14T05:47:29Z,2016-01-14T06:00:15Z,Npp20160114T054729Z20160114T060015Zhotspots.txt,,VIIRS (AER),6,,-32.9336,116.1244,,2016-01-14T05:53:52Z,,52,6973,WA,2016-01-14,2016-01-14T17:47:29Z
-1503733.22524239,-3688406.80021236,,,,,,,-1,0,-1,,,10720363,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21832,2016-01-14T05:47:29Z,2016-01-14T06:00:15Z,Npp20160114T054729Z20160114T060015Zhotspots.txt,,VIIRS (AER),6,,-32.9423,115.7574,,2016-01-14T05:53:52Z,,100,6973,WA,2016-01-14,2016-01-14T17:47:29Z
-1470258.74630569,-3682392.54977813,,,,,,,-1,0,-1,,,10720362,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21832,2016-01-14T05:47:29Z,2016-01-14T06:00:15Z,Npp20160114T054729Z20160114T060015Zhotspots.txt,,VIIRS (AER),6,,-32.9265,116.1232,,2016-01-14T05:53:52Z,,100,6973,WA,2016-01-14,2016-01-14T17:47:29Z
-1465475.98123446,-3683071.56976687,,,,,,,-1,0,-1,,,10713699,AQUA,2002-022A,NASA,MODIS,72848,2016-01-13T17:53:31Z,2016-01-13T18:00:03Z,Aqua20160113T175331Z20160113T180003Zhotspots.txt,,MOD14,5.0.1,,-32.9378,116.1734,307.40,2016-01-13T17:59:30Z,14.7,54,6985,WA,2016-01-13,2016-01-13T21:53:31Z
-1472183.95792973,-3683226.6899815,,,,,,,-1,0,-1,,,10713696,AQUA,2002-022A,NASA,MODIS,72848,2016-01-13T17:53:31Z,2016-01-13T18:00:03Z,Aqua20160113T175331Z20160113T180003Zhotspots.txt,,MOD14,5.0.1,,-32.9317,116.1015,328.30,2016-01-13T17:54:30Z,38.9,100,6985,WA,2016-01-13,2016-01-13T21:53:31Z
-1470027.38043319,-3683176.67615002,,,,,,,-1,0,-1,,,10713697,AQUA,2002-022A,NASA,MODIS,72848,2016-01-13T17:53:31Z,2016-01-13T18:00:03Z,Aqua20160113T175331Z20160113T180003Zhotspots.txt,,MOD14,5.0.1,,-32.9337,116.1246,374.00,2016-01-13T17:53:30Z,145.4,100,6985,WA,2016-01-13,2016-01-13T21:53:31Z
-1467749.83079867,-3683124.35026304,,,,,,,-1,0,-1,,,10713698,AQUA,2002-022A,NASA,MODIS,72848,2016-01-13T17:53:31Z,2016-01-13T18:00:03Z,Aqua20160113T175331Z20160113T180003Zhotspots.txt,,MOD14,5.0.1,,-32.9358,116.1491,328.80,2016-01-13T17:53:30Z,39.0,100,6985,WA,2016-01-13,2016-01-13T21:53:31Z
-1469581.84164193,-3683097.38978379,,,,,,,-1,0,-1,,,10723389,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21826,2016-01-13T17:19:16Z,2016-01-13T17:33:25Z,Npp20160113T171916Z20160113T173325Zhotspots.txt,,VIIRS (AER),6,,-32.9335,116.1295,,2016-01-13T17:26:20Z,,100,6986,WA,2016-01-14,2016-01-14T05:19:16Z
-1472108.798322,-3682999.53120056,,,,,,,-1,0,-1,,,10723386,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21826,2016-01-13T17:19:16Z,2016-01-13T17:33:25Z,Npp20160113T171916Z20160113T173325Zhotspots.txt,,VIIRS (AER),6,,-32.9298,116.1026,,2016-01-13T17:26:20Z,,93,6986,WA,2016-01-14,2016-01-14T05:19:16Z
-1471266.67791779,-3683032.15457018,,,,,,,-1,0,-1,,,10723387,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21826,2016-01-13T17:19:16Z,2016-01-13T17:33:25Z,Npp20160113T171916Z20160113T173325Zhotspots.txt,,VIIRS (AER),6,,-32.9310,116.1116,,2016-01-13T17:26:20Z,,100,6986,WA,2016-01-14,2016-01-14T05:19:16Z
-1470425.36173747,-3683064.48652448,,,,,,,-1,0,-1,,,10723388,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21826,2016-01-13T17:19:16Z,2016-01-13T17:33:25Z,Npp20160113T171916Z20160113T173325Zhotspots.txt,,VIIRS (AER),6,,-32.9323,116.1205,,2016-01-13T17:26:20Z,,100,6986,WA,2016-01-14,2016-01-14T05:19:16Z
-1472136.33247192,-3683783.92614675,,,,,,,-1,0,-1,,,10723391,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21826,2016-01-13T17:19:16Z,2016-01-13T17:33:25Z,Npp20160113T171916Z20160113T173325Zhotspots.txt,,VIIRS (AER),6,,-32.9367,116.1013,,2016-01-13T17:26:20Z,,100,6986,WA,2016-01-14,2016-01-14T05:19:16Z
