X,Y,id,satellite,satellite_nssdc_id,satellite_operating_agency,sensor,orbit,start_dt,stop_dt,process_dt,process_algorithm,process_algorithm_version,load_dt,latitude,longitude,locationX,locationY,temp_kelvin,datetime,power,confidence,age_hours,australian_state
676326.380713494145311,-3329249.27628581225872,10694468,NOAA 19,2009-005A,NOAA,AVHRR,35240,2015-12-10T17:13:39,2015-12-10T17:29:53,,GA AVHRR,1.0.0,,-30.42,139.12,15486767.5591602,-3557651.97886008,294.1,2015-12-10T17:21:46,,,10208,SA 
670075.742090357816778,-3339003.596932564396411,10694477,NOAA 19,2009-005A,NOAA,AVHRR,35240,2015-12-10T17:13:39,2015-12-10T17:29:53,,GA AVHRR,1.0.0,,-30.51,139.06,15480088.3897126,-3569275.48757907,295.1,2015-12-10T17:21:46,,,10208,SA 
669127.590607216465287,-3338951.184296496678144,10694476,NOAA 19,2009-005A,NOAA,AVHRR,35240,2015-12-10T17:13:39,2015-12-10T17:29:53,,GA AVHRR,1.0.0,,-30.51,139.05,15478975.1948047,-3569275.48757907,295.1,2015-12-10T17:21:46,,,10208,SA 
673293.134843592182733,-3332447.705610161647201,10694475,NOAA 19,2009-005A,NOAA,AVHRR,35240,2015-12-10T17:13:39,2015-12-10T17:29:53,,GA AVHRR,1.0.0,,-30.45,139.09,15483427.9744364,-3561525.28874755,293.4,2015-12-10T17:21:46,,,10208,SA 
671395.801421947777271,-3332342.450955805834383,10694474,NOAA 19,2009-005A,NOAA,AVHRR,35240,2015-12-10T17:13:39,2015-12-10T17:29:53,,GA AVHRR,1.0.0,,-30.45,139.07,15481201.5846206,-3561525.28874755,293.8,2015-12-10T17:21:46,,,10208,SA 
670447.128537883167155,-3332289.935013356618583,10694473,NOAA 19,2009-005A,NOAA,AVHRR,35240,2015-12-10T17:13:39,2015-12-10T17:29:53,,GA AVHRR,1.0.0,,-30.45,139.06,15480088.3897126,-3561525.28874755,293.8,2015-12-10T17:21:46,,,10208,SA 
672406.544902484631166,-3331276.074751945678145,10694472,NOAA 19,2009-005A,NOAA,AVHRR,35240,2015-12-10T17:13:39,2015-12-10T17:29:53,,GA AVHRR,1.0.0,,-30.44,139.08,15482314.7795285,-3560234.05304933,293.4,2015-12-10T17:21:46,,,10208,SA 
671457.788545415736735,-3331223.479697472415864,10694471,NOAA 19,2009-005A,NOAA,AVHRR,35240,2015-12-10T17:13:39,2015-12-10T17:29:53,,GA AVHRR,1.0.0,,-30.44,139.07,15481201.5846206,-3560234.05304933,299.3,2015-12-10T17:21:46,,,10208,SA 
670509.02807441202458,-3331170.958906450774521,10694470,NOAA 19,2009-005A,NOAA,AVHRR,35240,2015-12-10T17:13:39,2015-12-10T17:29:53,,GA AVHRR,1.0.0,,-30.44,139.06,15480088.3897126,-3560234.05304933,299.3,2015-12-10T17:21:46,,,10208,SA 
677275.291585137136281,-3329302.252432225272059,10694469,NOAA 19,2009-005A,NOAA,AVHRR,35240,2015-12-10T17:13:39,2015-12-10T17:29:53,,GA AVHRR,1.0.0,,-30.42,139.13,15487880.7540682,-3557651.97886008,294.1,2015-12-10T17:21:46,,,10208,SA 
675315.12721047049854,-3330315.34452283103019,10694383,NOAA 19,2009-005A,NOAA,AVHRR,35239,2015-12-10T15:35:51,2015-12-10T15:47:37,,GA AVHRR,1.0.0,,-30.43,139.11,15485654.3642523,-3558942.94977566,297.5,2015-12-10T15:41:44,,,10209,SA 
674366.295643956051208,-3330262.521803908515722,10694382,NOAA 19,2009-005A,NOAA,AVHRR,35239,2015-12-10T15:35:51,2015-12-10T15:47:37,,GA AVHRR,1.0.0,,-30.43,139.1,15484541.1693444,-3558942.94977566,297.5,2015-12-10T15:41:44,,,10209,SA 
673479.623259221320041,-3329090.793501137755811,10694381,NOAA 19,2009-005A,NOAA,AVHRR,35239,2015-12-10T15:35:51,2015-12-10T15:47:37,,GA AVHRR,1.0.0,,-30.42,139.09,15483427.9744364,-3557651.97886008,297.5,2015-12-10T15:41:44,,,10209,SA 
672530.695847397786565,-3329038.11445884918794,10694380,NOAA 19,2009-005A,NOAA,AVHRR,35239,2015-12-10T15:35:51,2015-12-10T15:47:37,,GA AVHRR,1.0.0,,-30.42,139.08,15482314.7795285,-3557651.97886008,297.5,2015-12-10T15:41:44,,,10209,SA 
