X,Y,Datetime,Latitude,Longitude,FRP(mw),Firesize(km2),temp(k),Category,Description
528588.411304370500147,-3523345.727374637965113,2015-12-01 06:20:00,-32.2173,137.6574,0.37,-9999,-9999,15, Low Possibility
681408.787390946992673,-3530292.285413171630353,2015-12-01 06:20:00,-32.2101,139.2941,-9999,-9999,-9999,15, Low Possibility
626963.154528239043429,-3464795.746382141951472,2015-12-01 07:30:00,-31.6522,138.6758,4.62,-9999,-9999,15, Low Possibility
642939.872954954160377,-3385330.04647806705907,2015-12-02 03:00:00,-30.936,138.8006,-9999,-9999,-9999,15, Low Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 04:40:00,-30.5234,139.0236,-9999,-9999,-9999,15, Low Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 04:50:00,-30.5234,139.0236,-9999,-9999,-9999,15, Low Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 05:10:00,-30.5234,139.0236,-9999,-9999,-9999,15, Low Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 05:20:00,-30.5234,139.0236,38.33,0.001072,867.5,10, Processed
666541.937778727617115,-3340312.533495534677058,2015-12-02 05:30:00,-30.5234,139.0236,30.76,0.012248,536.2,10, Processed
666541.937778727617115,-3340312.533495534677058,2015-12-02 05:40:00,-30.5234,139.0236,-9999,-9999,-9999,15, Low Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 05:50:00,-30.5234,139.0236,-9999,-9999,-9999,15, Low Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 06:00:00,-30.5234,139.0236,46.77,0.018891,535.1,10, Processed
666541.937778727617115,-3340312.533495534677058,2015-12-02 06:10:00,-30.5234,139.0236,40.17,-9999,-9999,14, Medium Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 06:20:00,-30.5234,139.0236,44.48,-9999,-9999,13, High Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 06:30:00,-30.5234,139.0236,42.68,-9999,-9999,13, High Possibility
617085.373565084300935,-3404717.751089603174478,2015-12-02 06:30:00,-31.1209,138.5381,-9999,-9999,-9999,15, Low Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 06:40:00,-30.5234,139.0236,60.02,-9999,-9999,13, High Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 06:50:00,-30.5234,139.0236,78.94,-9999,-9999,13, High Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 07:00:00,-30.5234,139.0236,40.99,-9999,-9999,13, High Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 07:10:00,-30.5234,139.0236,-9999,-9999,-9999,15, Low Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 07:20:00,-30.5234,139.0236,62.98,-9999,-9999,13, High Possibility
666720.263844014727511,-3337763.457615525927395,2015-12-02 07:30:00,-30.5006,139.024,-9999,-9999,-9999,15, Low Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 07:30:00,-30.5234,139.0236,-9999,-9999,-9999,15, Low Possibility
666720.263844014727511,-3337763.457615525927395,2015-12-02 07:40:00,-30.5006,139.024,44.48,-9999,-9999,13, High Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 07:40:00,-30.5234,139.0236,77.27,-9999,-9999,13, High Possibility
666720.263844014727511,-3337763.457615525927395,2015-12-02 07:50:00,-30.5006,139.024,64.64,-9999,-9999,13, High Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 07:50:00,-30.5234,139.0236,71.68,-9999,-9999,13, High Possibility
666720.263844014727511,-3337763.457615525927395,2015-12-02 08:00:00,-30.5006,139.024,60.58,-9999,-9999,13, High Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 08:00:00,-30.5234,139.0236,42.43,0.003293,701.4,10, Processed
666720.263844014727511,-3337763.457615525927395,2015-12-02 08:10:00,-30.5006,139.024,48.9,-9999,-9999,13, High Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 08:10:00,-30.5234,139.0236,70.78,0.000843,1078.2,10, Processed
666720.263844014727511,-3337763.457615525927395,2015-12-02 08:20:00,-30.5006,139.024,48.16,-9999,-9999,13, High Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 08:20:00,-30.5234,139.0236,45.67,0.004406,673.8,10, Processed
666720.263844014727511,-3337763.457615525927395,2015-12-02 08:30:00,-30.5006,139.024,53.07,-9999,-9999,13, High Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 08:30:00,-30.5234,139.0236,40.35,0.00824,593.2,10, Processed
666720.263844014727511,-3337763.457615525927395,2015-12-02 08:40:00,-30.5006,139.024,38.69,-9999,-9999,13, High Possibility
666541.937778727617115,-3340312.533495534677058,2015-12-02 08:40:00,-30.5234,139.0236,41.26,0.003557,687.8,10, Processed
666541.937778727617115,-3340312.533495534677058,2015-12-02 08:50:00,-30.5234,139.0236,26.08,0.011645,527.4,10, Processed
666541.937778727617115,-3340312.533495534677058,2015-12-02 09:00:00,-30.5234,139.0236,33.32,0.019485,508,10, Processed
666541.937778727617115,-3340312.533495534677058,2015-12-02 09:10:00,-30.5234,139.0236,30.26,0.01366,526.6,10, Processed
666541.937778727617115,-3340312.533495534677058,2015-12-02 09:20:00,-30.5234,139.0236,30.86,0.010703,547,10, Processed
666541.937778727617115,-3340312.533495534677058,2015-12-02 09:30:00,-30.5234,139.0236,28.43,0.004652,614.9,10, Processed
666541.937778727617115,-3340312.533495534677058,2015-12-02 09:40:00,-30.5234,139.0236,30.27,0.004806,618,10, Processed
666541.937778727617115,-3340312.533495534677058,2015-12-02 10:00:00,-30.5234,139.0236,27.83,0.003873,631.8,10, Processed
666541.937778727617115,-3340312.533495534677058,2015-12-02 10:20:00,-30.5234,139.0236,24.96,0.002281,680.4,10, Processed
639262.441335342242382,-3380008.109001570846885,2015-12-03 05:10:00,-30.8903,138.7588,-9999,-9999,-9999,15, Low Possibility
562408.481554289232008,-3508934.943382280878723,2015-12-04 20:40:00,-32.0748,138.0116,-9999,-9999,-9999,15, Low Possibility
664877.795260878978297,-3335114.503773937001824,2015-12-05 06:00:00,-30.4779,139.0031,282.97,-9999,-9999,13, High Possibility
666908.093026777612977,-3335214.855897719506174,2015-12-05 06:00:00,-30.4778,139.0245,375.21,-9999,-9999,13, High Possibility
664699.875588504131883,-3337663.656993614509702,2015-12-05 06:00:00,-30.5007,139.0027,188.38,-9999,-9999,13, High Possibility
666720.263844014727511,-3337763.457615525927395,2015-12-05 06:00:00,-30.5006,139.024,275.09,-9999,-9999,13, High Possibility
591159.245275863679126,-3341863.044501742813736,2015-12-05 06:00:00,-30.5721,138.2314,-9999,-9999,-9999,15, Low Possibility
590968.337963981786743,-3344411.63505090540275,2015-12-05 06:00:00,-30.5949,138.2307,-9999,-9999,-9999,15, Low Possibility
596688.429743254324421,-3349785.530661452561617,2015-12-05 06:00:00,-30.6403,138.2937,-9999,-9999,-9999,15, Low Possibility
595744.951704327366315,-3362572.449412572197616,2015-12-05 06:00:00,-30.7547,138.2904,-9999,-9999,-9999,15, Low Possibility
786337.117020105826668,-3489414.880938885733485,2015-12-05 06:00:00,-31.7879,140.3856,15.35,0.052866,412.5,10, Processed
666908.093026777612977,-3335214.855897719506174,2015-12-05 06:10:00,-30.4778,139.0245,464.94,-9999,-9999,13, High Possibility
666720.263844014727511,-3337763.457615525927395,2015-12-05 06:10:00,-30.5006,139.024,465.26,-9999,-9999,13, High Possibility
591159.245275863679126,-3341863.044501742813736,2015-12-05 06:10:00,-30.5721,138.2314,-9999,-9999,-9999,15, Low Possibility
590968.337963981786743,-3344411.63505090540275,2015-12-05 06:10:00,-30.5949,138.2307,-9999,-9999,-9999,15, Low Possibility
593006.488906386657618,-3344500.068449087440968,2015-12-05 06:10:00,-30.5948,138.2522,-9999,-9999,-9999,15, Low Possibility
592814.634961492265575,-3347059.769931543618441,2015-12-05 06:10:00,-30.6177,138.2515,-9999,-9999,-9999,15, Low Possibility
594842.866915612365119,-3347148.048704749904573,2015-12-05 06:10:00,-30.6176,138.2729,-9999,-9999,-9999,15, Low Possibility
604761.729691580520011,-3378387.636630670167506,2015-12-05 06:10:00,-30.8917,138.3938,-9999,-9999,-9999,15, Low Possibility
786157.461790542467497,-3492004.983458990231156,2015-12-05 06:10:00,-31.8111,140.3855,17.21,0.071933,404.4,10, Processed
610162.040538926492445,-3332471.695056987460703,2015-12-05 06:20:00,-30.48,138.4264,-9999,-9999,-9999,15, Low Possibility
666908.093026777612977,-3335214.855897719506174,2015-12-05 06:20:00,-30.4778,139.0245,177.15,-9999,-9999,13, High Possibility
666720.263844014727511,-3337763.457615525927395,2015-12-05 06:20:00,-30.5006,139.024,377.62,-9999,-9999,13, High Possibility
668750.119684280245565,-3337864.1186419990845,2015-12-05 06:20:00,-30.5005,139.0454,98.79,-9999,-9999,13, High Possibility
591159.245275863679126,-3341863.044501742813736,2015-12-05 06:20:00,-30.5721,138.2314,-9999,-9999,-9999,15, Low Possibility
588949.128711163299158,-3344324.466722283046693,2015-12-05 06:20:00,-30.595,138.2094,-9999,-9999,-9999,15, Low Possibility
587251.271052361116745,-3367339.061176027171314,2015-12-05 06:20:00,-30.8009,138.2033,18.01,0.00775,530.8,10, Processed
587060.546575466170907,-3369898.362093333154917,2015-12-05 06:20:00,-30.8238,138.2026,18.58,0.027933,451.8,10, Processed
600841.79707394761499,-3403986.422652255278081,2015-12-05 06:20:00,-31.1217,138.3659,18.41,0.037251,436.7,10, Processed
786157.461790542467497,-3492004.983458990231156,2015-12-05 06:20:00,-31.8111,140.3855,14.7,0.022851,449.8,10, Processed
664877.795260878978297,-3335114.503773937001824,2015-12-05 06:30:00,-30.4779,139.0031,-9999,-9999,-9999,15, Low Possibility
666908.093026777612977,-3335214.855897719506174,2015-12-05 06:30:00,-30.4778,139.0245,164.97,-9999,-9999,13, High Possibility
664699.875588504131883,-3337663.656993614509702,2015-12-05 06:30:00,-30.5007,139.0027,-9999,-9999,-9999,15, Low Possibility
666720.263844014727511,-3337763.457615525927395,2015-12-05 06:30:00,-30.5006,139.024,240.6,-9999,-9999,13, High Possibility
586349.361266790190712,-3351905.224857001565397,2015-12-05 06:30:00,-30.6637,138.1859,-9999,-9999,-9999,15, Low Possibility
664877.795260878978297,-3335114.503773937001824,2015-12-05 06:40:00,-30.4779,139.0031,264.37,-9999,-9999,13, High Possibility
666908.093026777612977,-3335214.855897719506174,2015-12-05 06:40:00,-30.4778,139.0245,280.78,-9999,-9999,13, High Possibility
664699.875588504131883,-3337663.656993614509702,2015-12-05 06:40:00,-30.5007,139.0027,258.63,-9999,-9999,13, High Possibility
666720.263844014727511,-3337763.457615525927395,2015-12-05 06:40:00,-30.5006,139.024,294.59,-9999,-9999,13, High Possibility
