id,satellite,satellite_nssdc_id,satellite_operating_agency,sensor,orbit,start_dt,stop_dt,process_dt,process_algorithm,process_algorithm_version,load_dt,latitude,longitude,locationX,locationY,temp_kelvin,datetime,power,confidence,age_hours,australian_state
10702324,NOAA 19,2009-005A,NOAA,AVHRR,35451,2015-12-25T16:05:56,2015-12-25T16:20:18,,GA AVHRR,1.0.0,,-33.02,137.59,15316448.7382465,-3897958.92987305,306.1,2015-12-25T16:13:07,,,9825,SA 
10702323,NOAA 19,2009-005A,NOAA,AVHRR,35451,2015-12-25T16:05:56,2015-12-25T16:20:18,,GA AVHRR,1.0.0,,-33.01,137.59,15316448.7382465,-3896631.37137425,306.1,2015-12-25T16:13:07,,,9825,SA 
10702325,NOAA 19,2009-005A,NOAA,AVHRR,35451,2015-12-25T16:05:56,2015-12-25T16:20:18,,GA AVHRR,1.0.0,,-33.03,137.59,15316448.7382465,-3899286.63896488,301.7,2015-12-25T16:13:07,,,9825,SA 
10700566,NOAA 19,2009-005A,NOAA,AVHRR,35423,2015-12-23T16:27:50,2015-12-23T16:43:19,,GA AVHRR,1.0.0,,-33.01,137.59,15316448.7382465,-3896631.37137425,299.5,2015-12-23T16:35:34,,,9873,SA 
10700822,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21520,2015-12-23T04:18:48,2015-12-23T04:34:24,,VIIRS (AER),6,,-34.2277,138.4982,15417552.4393697,-4059416.09007561,,2015-12-23T04:26:36,,100,9885,SA 
10699957,NOAA 19,2009-005A,NOAA,AVHRR,35409,2015-12-22T16:38:54,2015-12-22T16:54:46,,GA AVHRR,1.0.0,,-33.01,137.59,15316448.7382465,-3896631.37137425,299.3,2015-12-22T16:46:50,,,9896,SA 
10699956,NOAA 19,2009-005A,NOAA,AVHRR,35409,2015-12-22T16:38:54,2015-12-22T16:54:46,,GA AVHRR,1.0.0,,-33,137.59,15316448.7382465,-3895303.96339389,302.3,2015-12-22T16:46:50,,,9896,SA 
10701123,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21505,2015-12-22T04:37:43,2015-12-22T04:51:54,,VIIRS (AER),6,,-31.448,132.9294,14797629.4459122,-3691066.4740244,,2015-12-22T04:44:48,,100,9908,SA 
10700198,AQUA,2002-022A,NASA,MODIS,72519,2015-12-22T04:14:23,2015-12-22T04:26:52,,MOD14,5.0.1,,-31.4298,133.0757,14813920.7194313,-3688699.81668365,326.9,2015-12-22T04:14:20,22.2,66,9909,SA 
10700192,TERRA,1999-068A,NASA,MODIS,85157,2015-12-22T01:31:20,2015-12-22T01:44:28,,MOD14,5.0.1,,-35.0387,139.4267,15520907.2432357,-4169147.27427207,324.5,2015-12-22T01:33:00,11.2,78,9912,SA 
10700193,TERRA,1999-068A,NASA,MODIS,85157,2015-12-22T01:31:20,2015-12-22T01:44:28,,MOD14,5.0.1,,-35.0369,139.4218,15520361.8890503,-4168896.29419227,327,2015-12-22T01:31:20,14,80,9912,SA 
10699954,NOAA 19,2009-005A,NOAA,AVHRR,35395,2015-12-21T16:50:03,2015-12-21T17:06:09,,GA AVHRR,1.0.0,,-30.43,136.87,15236298.7048754,-3558942.94977566,301.1,2015-12-21T16:58:06,,,9920,SA 
10699948,NOAA 19,2009-005A,NOAA,AVHRR,35395,2015-12-21T16:50:03,2015-12-21T17:06:09,,GA AVHRR,1.0.0,,-32.99,137.6,15317561.9331544,-3893976.70585742,299.5,2015-12-21T16:58:06,,,9920,SA 
10699949,NOAA 19,2009-005A,NOAA,AVHRR,35395,2015-12-21T16:50:03,2015-12-21T17:06:09,,GA AVHRR,1.0.0,,-33,137.59,15316448.7382465,-3895303.96339389,299.5,2015-12-21T16:58:06,,,9920,SA 
10699953,NOAA 19,2009-005A,NOAA,AVHRR,35395,2015-12-21T16:50:03,2015-12-21T17:06:09,,GA AVHRR,1.0.0,,-30.43,136.86,15235185.5099674,-3558942.94977566,302.8,2015-12-21T16:58:06,,,9920,SA 
10699947,NOAA 19,2009-005A,NOAA,AVHRR,35395,2015-12-21T16:50:03,2015-12-21T17:06:09,,GA AVHRR,1.0.0,,-32.99,137.59,15316448.7382465,-3893976.70585742,302.1,2015-12-21T16:58:06,,,9920,SA 
10700084,AQUA,2002-022A,NASA,MODIS,72505,2015-12-21T05:09:12,2015-12-21T05:22:24,,MOD14,5.0.1,,-31.4627,132.9048,14794899.7806784,-3692984.5084113,340.8,2015-12-21T05:17:50,27.4,90,9932,SA 
