id,satellite,satellite_nssdc_id,satellite_operating_agency,sensor,orbit,start_dt,stop_dt,filename,process_dt,process_algorithm,process_algorithm_version,load_dt,latitude,longitude,location,temp_kelvin,datetime,power,confidence,age_hours,australian_state
10721529,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,22030,2016-01-28T04:44:34,2016-01-28T04:58:45,Npp20160128T044434Z20160128T045845Zhotspots.txt,,VIIRS (AER),6,,-41.3988,144.8772,POINT (16127654.127804419 -5071337.495406199),,2016-01-28T04:51:39,,92,8246,TAS
10721539,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,22030,2016-01-28T04:44:34,2016-01-28T04:58:45,Npp20160128T044434Z20160128T045845Zhotspots.txt,,VIIRS (AER),6,,-41.097,145.1264,POINT (16155393.943034688 -5026654.073617528),,2016-01-28T04:51:39,,62,8246,TAS
10718429,TERRA,1999-068A,NASA,MODIS,85695,2016-01-28T00:13:23,2016-01-28T00:24:27,Terra20160128T001323Z20160128T002427Zhotspots.txt,,MOD14,5.0.1,,-42.5116,145.9154,POINT (16243230.364606138 -5237925.3987246435),318.8,2016-01-28T00:13:20,19.2,70,8251,TAS
10718428,TERRA,1999-068A,NASA,MODIS,85695,2016-01-28T00:13:23,2016-01-28T00:24:27,Terra20160128T001323Z20160128T002427Zhotspots.txt,,MOD14,5.0.1,,-42.5099,145.9027,POINT (16241818.722143391 -5237668.525216496),319.1,2016-01-28T00:13:20,19.8,71,8251,TAS
10718408,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.78,145.23,POINT (16166929.647907117 -5128081.267000379),338.4,2016-01-27T16:42:06,,,8258,TAS
10718407,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.78,145.22,POINT (16165816.452999191 -5128081.267000379),308.5,2016-01-27T16:42:06,,,8258,TAS
10718406,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.78,145.21,POINT (16164703.258091252 -5128081.267000379),308.5,2016-01-27T16:42:06,,,8258,TAS
10718405,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.77,145.26,POINT (16170269.232630922 -5126588.581922752),338.4,2016-01-27T16:42:06,,,8258,TAS
10718404,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.77,145.25,POINT (16169156.037722982 -5126588.581922752),338.4,2016-01-27T16:42:06,,,8258,TAS
10718403,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.77,145.24,POINT (16168042.842815056 -5126588.581922752),338.4,2016-01-27T16:42:06,,,8258,TAS
10718402,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.77,145.23,POINT (16166929.647907117 -5126588.581922752),338.4,2016-01-27T16:42:06,,,8258,TAS
10718401,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.76,145.28,POINT (16172495.622446787 -5125096.129515818),308.5,2016-01-27T16:42:06,,,8258,TAS
10718400,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.76,145.27,POINT (16171382.427538853 -5125096.129515818),308.5,2016-01-27T16:42:06,,,8258,TAS
10718399,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.76,145.26,POINT (16170269.232630922 -5125096.129515818),310.9,2016-01-27T16:42:06,,,8258,TAS
10718398,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.76,145.25,POINT (16169156.037722982 -5125096.129515818),310.9,2016-01-27T16:42:06,,,8258,TAS
10718397,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.41,144.97,POINT (16137986.580300868 -5073005.965722108),312,2016-01-27T16:42:06,,,8258,TAS
10718396,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.4,144.9,POINT (16130194.215945344 -5071521.811425612),323.1,2016-01-27T16:42:06,,,8258,TAS
10718395,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.4,144.89,POINT (16129081.021037407 -5071521.811425612),323.1,2016-01-27T16:42:06,,,8258,TAS
10718394,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.4,144.88,POINT (16127967.826129474 -5071521.811425612),338.4,2016-01-27T16:42:06,,,8258,TAS
10718393,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.16,144.86,POINT (16125741.436313614 -5035970.349061682),312.9,2016-01-27T16:42:06,,,8258,TAS
10718392,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.16,144.85,POINT (16124628.241405677 -5035970.349061682),312.9,2016-01-27T16:42:06,,,8258,TAS
10718391,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.16,144.78,POINT (16116835.877050148 -5035970.349061682),315.1,2016-01-27T16:42:06,,,8258,TAS
