X,Y,id,satellite,satellite_nssdc_id,satellite_operating_agency,sensor,orbit,start_dt,stop_dt,filename,process_dt,process_algorithm,process_algorithm_version,load_dt,latitude,longitude,temp_kelvin,datetime,power,confidence,age_hours,australian_state
1099390.339414361864328,-4581979.746707226149738,10721529,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,22030,2016-01-28T04:44:34,2016-01-28T04:58:45,Npp20160128T044434Z20160128T045845Zhotspots.txt,,VIIRS (AER),6,,-41.3988,144.8772,,2016-01-28T04:51:39,,92,8246,TAS
1123955.896848185453564,-4551516.124976045452058,10721539,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,22030,2016-01-28T04:44:34,2016-01-28T04:58:45,Npp20160128T044434Z20160128T045845Zhotspots.txt,,VIIRS (AER),6,,-41.097,145.1264,,2016-01-28T04:51:39,,62,8246,TAS
1107162.724822187097743,-4583991.244593869894743,10718397,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.41,144.97,312,2016-01-27T16:42:06,,,8258,TAS
1101317.137395740719512,-4582305.781732607632875,10718396,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.4,144.9,323.1,2016-01-27T16:42:06,,,8258,TAS
1100466.303263360401616,-4582219.610147340223193,10718395,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.4,144.89,323.1,2016-01-27T16:42:06,,,8258,TAS
1099615.462388563668355,-4582133.505160826258361,10718394,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.4,144.88,338.4,2016-01-27T16:42:06,,,8258,TAS
1100534.623806003248319,-4556012.913943154737353,10718393,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.16,144.86,312.9,2016-01-27T16:42:06,,,8258,TAS
1099681.731618852820247,-4555926.803689178079367,10718392,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.16,144.85,312.9,2016-01-27T16:42:06,,,8258,TAS
1093711.297948331339285,-4555325.90121652930975,10718391,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.16,144.78,315.1,2016-01-27T16:42:06,,,8258,TAS
1092858.352006610482931,-4555240.325056062079966,10718390,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.16,144.77,315.1,2016-01-27T16:42:06,,,8258,TAS
1092005.399369084043428,-4555154.815659645013511,10718389,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.16,144.76,326.3,2016-01-27T16:42:06,,,8258,TAS
1103202.78667716216296,-4555189.786041363142431,10718388,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.15,144.89,308.8,2016-01-27T16:42:06,,,8258,TAS
1102349.830052037723362,-4555103.466941189952195,10718387,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.15,144.88,308.8,2016-01-27T16:42:06,,,8258,TAS
1089025.903367505175993,-4550485.099346918985248,10718386,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.12,144.72,308.4,2016-01-27T16:42:06,,,8258,TAS
1092547.58386490191333,-4549744.41469256952405,10718385,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.11,144.76,311.6,2016-01-27T16:42:06,,,8258,TAS
1091694.20103950961493,-4549658.929638165049255,10718384,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.11,144.75,311.6,2016-01-27T16:42:06,,,8258,TAS
1090840.811525444500148,-4549573.511382009834051,10718383,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.11,144.74,332.2,2016-01-27T16:42:06,,,8258,TAS
1089987.415327935246751,-4549488.15992462541908,10718382,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.11,144.73,334.2,2016-01-27T16:42:06,,,8258,TAS
1089134.012452210532501,-4549402.875266538001597,10718381,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.11,144.72,334.2,2016-01-27T16:42:06,,,8258,TAS
1125082.795263204723597,-4551960.421352433040738,10718380,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.1,145.14,308.2,2016-01-27T16:42:06,,,8258,TAS
1099483.536145166261122,-4549348.522855627350509,10718379,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.1,144.84,318.2,2016-01-27T16:42:06,,,8258,TAS
1098630.122310351813212,-4549262.494895271956921,10718378,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.1,144.83,318.2,2016-01-27T16:42:06,,,8258,TAS
1097776.701744365040213,-4549176.533735592849553,10718377,NOAA 19,2009-005A,NOAA,AVHRR,35917,2016-01-27T16:34:23,2016-01-27T16:49:50,Noaa1920160127T163423Z20160127T164950Zhotspots.txt,,GA AVHRR,1.0.0,,-41.1,144.82,318.4,2016-01-27T16:42:06,,,8258,TAS
