X,Y,datetime,lat,lon,FRP(mw),Firesize(km^2),temp(k),Category,Description
1147685.85672115,-4577895.71602158,2016-01-01 00:00:00,-41.3157,145.4338,-9999,-9999,-9999,15, Low Possibility
1115582.27469412,-4528142.59237571,2016-01-01 00:10:00,-40.8912,145.0016,-9999,-9999,-9999,15, Low Possibility
1103338.01236823,-4563464.81987814,2016-01-01 00:20:00,-41.2256,144.9013,23.12,-9999,-9999,15, Low Possibility
1103200.51995364,-4566520.77017568,2016-01-01 00:20:00,-41.2537,144.9033,24.44,-9999,-9999,15, Low Possibility
1107063.3365557,-4576185.81978704,2016-01-01 00:30:00,-41.3386,144.9596,30.7,-9999,-9999,15, Low Possibility
1113721.454765,-4570803.90196609,2016-01-01 00:40:00,-41.2831,145.0306,23.82,-9999,-9999,15, Low Possibility
1148192.56187601,-4565665.65989331,2016-01-01 01:10:00,-41.2033,145.4247,28.77,-9999,-9999,15, Low Possibility
1158598.15624569,-4573064.43859298,2016-01-01 01:10:00,-41.2609,145.5546,-9999,-9999,-9999,15, Low Possibility
1158470.57705457,-4576121.80835718,2016-01-01 01:20:00,-41.289,145.5569,-9999,-9999,-9999,15, Low Possibility
1104554.72545376,-4536037.97131306,2016-01-01 01:30:00,-40.9736,144.8832,-9999,-9999,-9999,15, Low Possibility
1104554.72545376,-4536037.97131306,2016-01-01 01:40:00,-40.9736,144.8832,-9999,-9999,-9999,15, Low Possibility
1104554.72545376,-4536037.97131306,2016-01-01 01:50:00,-40.9736,144.8832,-9999,-9999,-9999,15, Low Possibility
1104554.72545376,-4536037.97131306,2016-01-01 02:00:00,-40.9736,144.8832,-9999,-9999,-9999,15, Low Possibility
1125596.62033265,-4593755.15710903,2016-01-01 02:00:00,-41.4821,145.1962,37.84,0.116079,415,10, Processed
1113721.454765,-4570803.90196609,2016-01-01 02:30:00,-41.2831,145.0306,-9999,-9999,-9999,15, Low Possibility
1124368.95263892,-4572051.89640691,2016-01-01 02:30:00,-41.2845,145.1558,-9999,-9999,-9999,15, Low Possibility
1156337.20098897,-4575861.99854099,2016-01-01 02:50:00,-41.2887,145.5318,-9999,-9999,-9999,15, Low Possibility
1141038.37300571,-4583258.4670062,2016-01-01 02:50:00,-41.3712,145.3631,45.54,-9999,-9999,13, High Possibility
1149076.22853583,-4596553.14633802,2016-01-01 02:50:00,-41.4852,145.4729,-9999,-9999,-9999,15, Low Possibility
1138782.78865169,-4586068.72086265,2016-01-01 03:00:00,-41.3991,145.3403,30.09,-9999,-9999,15, Low Possibility
1138659.16541729,-4589134.89535661,2016-01-01 03:10:00,-41.4273,145.3426,-9999,-9999,-9999,15, Low Possibility
1083019.06564611,-4539720.06502855,2016-01-01 04:30:00,-41.027,144.6379,36.52,-9999,-9999,15, Low Possibility
1104265.24858705,-4591270.48064102,2016-01-01 04:50:00,-41.4794,144.9449,29.74,-9999,-9999,15, Low Possibility
1086162.3826516,-4564589.06793683,2016-01-01 05:00:00,-41.2517,144.7031,39.15,-9999,-9999,12, Cloudy
1156582.57666337,-4569745.84696197,2016-01-01 05:20:00,-41.2325,145.5271,-9999,-9999,-9999,15, Low Possibility
1137288.75649219,-4570499.24857329,2016-01-01 05:20:00,-41.258,145.304,23.3,-9999,-9999,15, Low Possibility
1084725.96105512,-4549094.59215567,2016-01-01 05:30:00,-41.1112,144.6685,28.17,-9999,-9999,15, Low Possibility
1137288.75649219,-4570499.24857329,2016-01-01 05:30:00,-41.258,145.304,25.14,-9999,-9999,15, Low Possibility
1157618.69232791,-4597591.77547649,2016-01-01 05:30:00,-41.4864,145.5736,27.67,-9999,-9999,15, Low Possibility
1125596.62033265,-4593755.15710903,2016-01-01 05:50:00,-41.4821,145.1962,30.84,-9999,-9999,15, Low Possibility
1157739.37509235,-4594525.87762453,2016-01-01 06:20:00,-41.4582,145.5712,16.52,-9999,-9999,15, Low Possibility
1154084.69134413,-4578671.29555472,2016-01-01 06:40:00,-41.3166,145.5091,-9999,-9999,-9999,15, Low Possibility
1126467.11526032,-4523304.20038519,2016-01-01 20:30:00,-40.8368,145.1218,18.96,-9999,-9999,15, Low Possibility
1125674.64810935,-4541543.52565164,2016-01-01 20:50:00,-41.0042,145.1344,23.05,-9999,-9999,15, Low Possibility
1095306.07310841,-4504512.20928615,2016-01-01 21:00:00,-40.6941,144.7395,19.59,-9999,-9999,15, Low Possibility
1104554.72545376,-4536037.97131306,2016-01-01 22:10:00,-40.9736,144.8832,26.78,-9999,-9999,15, Low Possibility
1099615.81410352,-4550772.06038032,2016-01-01 22:30:00,-41.1129,144.8432,-9999,-9999,-9999,15, Low Possibility
1102933.89841853,-4572632.19484367,2016-01-01 22:40:00,-41.3099,144.9074,26.39,-9999,-9999,14, Medium Possibility
1101474.52209711,-4557113.33467178,2016-01-01 22:50:00,-41.1692,144.8722,28.39,-9999,-9999,12, Cloudy
1103071.49490376,-4569577.13785038,2016-01-01 22:50:00,-41.2818,144.9054,29.89,-9999,-9999,15, Low Possibility
1102933.89841853,-4572632.19484367,2016-01-01 22:50:00,-41.3099,144.9074,26.89,-9999,-9999,15, Low Possibility
1099344.6774466,-4556876.36390399,2016-01-01 23:00:00,-41.169,144.8472,32.77,-9999,-9999,12, Cloudy
1101337.73249616,-4560170.20378924,2016-01-01 23:10:00,-41.1973,144.8742,35.94,-9999,-9999,12, Cloudy
1101337.73249616,-4560170.20378924,2016-01-01 23:20:00,-41.1973,144.8742,32.34,-9999,-9999,12, Cloudy
1102933.89841853,-4572632.19484367,2016-01-01 23:20:00,-41.3099,144.9074,25.01,-9999,-9999,15, Low Possibility
1101209.41487512,-4563227.49106841,2016-01-01 23:30:00,-41.2254,144.8763,25.48,-9999,-9999,15, Low Possibility
1092554.75139495,-4565305.13835703,2016-01-01 23:50:00,-41.2524,144.7782,25.91,-9999,-9999,15, Low Possibility
1094681.87202451,-4565551.58613706,2016-01-01 23:50:00,-41.2527,144.8032,27.82,-9999,-9999,15, Low Possibility
1103200.51995364,-4566520.77017568,2016-01-02 00:10:00,-41.2537,144.9033,28.49,-9999,-9999,15, Low Possibility
1098131.94759811,-4584395.71189155,2016-01-02 00:10:00,-41.4221,144.8654,25.77,-9999,-9999,15, Low Possibility
1105197.74756164,-4569825.63535248,2016-01-02 00:20:00,-41.2821,144.9304,32.48,-9999,-9999,12, Cloudy
