FID,id,satellite,satellite_nssdc_id,satellite_operating_agency,sensor,orbit,start_dt,stop_dt,filename,process_dt,process_algorithm,process_algorithm_version,load_dt,latitude,longitude,location,temp_kelvin,datetime,power,confidence,age_hours,australian_state
hotspot_historic.fid-63ecba5d_1599bad38c1_50b0,10704762,TERRA,1999-068A,NASA,MODIS,85303,2016-01-01T02:08:30,2016-01-01T02:20:00,Terra20160101T020830Z20160101T022000Zhotspots.txt,,MOD14,5.0.1,,-18.2639,126.1034,POINT (14037767.277175913 -2068455.07718592),326.7,2016-01-01T02:11:40,8.4,61,8999,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50b1,10704763,TERRA,1999-068A,NASA,MODIS,85303,2016-01-01T02:08:30,2016-01-01T02:20:00,Terra20160101T020830Z20160101T022000Zhotspots.txt,,MOD14,5.0.1,,-22.2403,116.6135,POINT (12981354.883023957 -2540398.510101753),337,2016-01-01T02:08:30,17.9,88,8999,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50a9,10709457,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21647,2016-01-01T04:50:29,2016-01-01T05:01:50,Npp20160101T045029Z20160101T050150Zhotspots.txt,,VIIRS (AER),6,,-20.1378,127.9618,POINT (14244638.075530572 -2289358.3622063934),,2016-01-01T04:56:09,,100,8996,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50aa,10709446,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21647,2016-01-01T04:50:29,2016-01-01T05:01:50,Npp20160101T045029Z20160101T050150Zhotspots.txt,,VIIRS (AER),6,,-17.6908,125.0904,POINT (13924995.512305748 -2001383.8391091444),,2016-01-01T04:56:09,,80,8996,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50ab,10709448,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21647,2016-01-01T04:50:29,2016-01-01T05:01:50,Npp20160101T045029Z20160101T050150Zhotspots.txt,,VIIRS (AER),6,,-16.617,124.1345,POINT (13818587.437446276 -1876288.8459984583),,2016-01-01T04:56:09,,50,8996,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50ac,10709449,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21647,2016-01-01T04:50:29,2016-01-01T05:01:50,Npp20160101T045029Z20160101T050150Zhotspots.txt,,VIIRS (AER),6,,-16.6061,124.1556,POINT (13820940.063564701 -1875017.8545916954),,2016-01-01T04:56:09,,100,8996,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50ad,10709451,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21647,2016-01-01T04:50:29,2016-01-01T05:01:50,Npp20160101T045029Z20160101T050150Zhotspots.txt,,VIIRS (AER),6,,-15.6881,128.745,POINT (14331832.406279128 -1768628.5536096282),,2016-01-01T04:56:09,,0,8996,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50ae,10709447,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21647,2016-01-01T04:50:29,2016-01-01T05:01:50,Npp20160101T045029Z20160101T050150Zhotspots.txt,,VIIRS (AER),6,,-16.7054,124.1538,POINT (13820740.467717709 -1886557.599113432),,2016-01-01T04:56:09,,86,8996,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50af,10709450,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21647,2016-01-01T04:50:29,2016-01-01T05:01:50,Npp20160101T045029Z20160101T050150Zhotspots.txt,,VIIRS (AER),6,,-16.6696,122.9834,POINT (13690445.011245852 -1882401.4441051253),,2016-01-01T04:56:09,,89,8996,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50a4,10704833,AQUA,2002-022A,NASA,MODIS,72666,2016-01-01T06:31:41,2016-01-01T06:36:59,Aqua20160101T063141Z20160101T063659Zhotspots.txt,,MOD14,5.0.1,,-31.381,115.62,POINT (12870757.299128475 -3682327.8138331505),375.8,2016-01-01T06:34:30,123.3,100,8995,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50a5,10704836,AQUA,2002-022A,NASA,MODIS,72666,2016-01-01T06:31:41,2016-01-01T06:36:59,Aqua20160101T063141Z20160101T063659Zhotspots.txt,,MOD14,5.0.1,,-31.373,115.6006,POINT (12868596.699131666 -3681288.4961526124),347.2,2016-01-01T06:33:00,42.6,94,8995,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50a6,10704834,AQUA,2002-022A,NASA,MODIS,72666,2016-01-01T06:31:41,2016-01-01T06:36:59,Aqua20160101T063141Z20160101T063659Zhotspots.txt,,MOD14,5.0.1,,-31.3669,115.6335,POINT (12872258.887739789 -3680490.7156878426),339.8,2016-01-01T06:31:40,25.9,90,8995,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50a7,10704832,AQUA,2002-022A,NASA,MODIS,72666,2016-01-01T06:31:41,2016-01-01T06:36:59,Aqua20160101T063141Z20160101T063659Zhotspots.txt,,MOD14,5.0.1,,-31.378,115.6364,POINT (12872584.942528317 -3681931.1650663023),358.2,2016-01-01T06:31:40,66.2,99,8995,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50a8,10704835,AQUA,2002-022A,NASA,MODIS,72666,2016-01-01T06:31:41,2016-01-01T06:36:59,Aqua20160101T063141Z20160101T063659Zhotspots.txt,,MOD14,5.0.1,,-31.37,115.617,POINT (12870428.572672162 -3680889.6646158714),420.7,2016-01-01T06:31:40,376.4,100,8995,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50a2,10704866,TERRA,1999-068A,NASA,MODIS,85310,2016-01-01T14:16:15,2016-01-01T14:29:08,Terra20160101T141615Z20160101T142908Zhotspots.txt,,MOD14,5.0.1,,-16.6044,124.1463,POINT (13819899.671603745 -1874822.4668481222),312.5,2016-01-01T14:23:10,9.1,79,8987,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50a3,10704865,TERRA,1999-068A,NASA,MODIS,85310,2016-01-01T14:16:15,2016-01-01T14:29:08,Terra20160101T141615Z20160101T142908Zhotspots.txt,,MOD14,5.0.1,,-16.7051,124.149,POINT (13820203.685133105 -1886529.0078552298),309.7,2016-01-01T14:16:20,7.3,67,8987,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_50a1,10704881,AQUA,2002-022A,NASA,MODIS,72673,2016-01-01T17:26:44,2016-01-01T17:36:54,Aqua20160101T172644Z20160101T173654Zhotspots.txt,,MOD14,5.0.1,,-22.903,117.7858,POINT (13111849.824023316 -2620294.873499651),310.8,2016-01-01T17:27:20,9.8,72,8984,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_509d,10704885,NOAA 19,2009-005A,NOAA,AVHRR,35551,2016-01-01T18:07:50,2016-01-01T18:22:19,Noaa1920160101T180750Z20160101T182219Zhotspots.txt,,GA AVHRR,1.0.0,,-34.92,118.2,POINT (13157963.811764933 -4153014.771107749),338.4,2016-01-01T18:15:04,,,8983,WA 
